path,class_
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic346.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper423.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass4.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper130.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper569.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper473.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass359.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard16.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass265.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic273.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass2.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard355.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard2.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard234.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper383.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard184.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal108.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal278.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass172.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard204.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper364.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic122.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal192.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic103.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper585.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal191.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper281.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass60.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper374.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass342.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass429.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal166.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal293.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass146.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard160.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass152.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic191.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass312.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash64.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic222.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass235.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass423.jpg,glass
